,1,2,4,Cost,RT
1971,1472.0,2240.0,512.0,49.99222222222223,3225.124
1972,1472.0,2240.0,704.0,51.832222222222235,2767.965777777777
1973,1472.0,2240.0,896.0,52.53333333333334,2462.381111111111
1974,1472.0,2240.0,1088.0,55.07222222222223,2353.2258888888887
1975,1472.0,2240.0,1280.0,54.61444444444445,2158.2886666666664
1976,1472.0,2240.0,1472.0,58.08111111111112,2152.8972222222224
1977,1472.0,2240.0,1664.0,58.5488888888889,2061.921555555555
1978,1472.0,2240.0,1856.0,61.668888888888894,2029.9424444444442
1979,1472.0,2240.0,2048.0,64.7988888888889,2000.2987777777778
1980,1472.0,2240.0,2240.0,63.87666666666668,1955.5178888888888
1981,1472.0,2240.0,2432.0,71.04888888888888,1972.4523333333332
1982,1472.0,2240.0,2624.0,74.17888888888889,1971.2026666666666
1983,1472.0,2240.0,2816.0,82.39222222222223,2110.1873333333333
1984,1472.0,2240.0,3008.0,74.98777777777778,1959.7332222222221
1985,1472.0,2432.0,128.0,46.82777777777778,7944.670888888891
1986,1472.0,2432.0,320.0,48.70777777777778,4121.052777777778
1987,1472.0,2432.0,512.0,51.032222222222224,3226.204333333333
1988,1472.0,2432.0,704.0,52.87222222222222,2769.0461111111103
1989,1472.0,2432.0,896.0,53.57333333333334,2463.461444444444
1990,1472.0,2432.0,1088.0,56.11222222222223,2354.306222222222
1991,1472.0,2432.0,1280.0,55.654444444444444,2159.3689999999997
1992,1472.0,2432.0,1472.0,59.12111111111112,2153.977555555555
1993,1472.0,2432.0,1664.0,59.588888888888896,2063.0018888888885
1994,1472.0,2432.0,1856.0,62.70888888888889,2031.0227777777775
1995,1472.0,2432.0,2048.0,65.8388888888889,2001.3791111111111
1996,1472.0,2432.0,2240.0,64.91666666666669,1956.5982222222221
1997,1472.0,2432.0,2432.0,72.08888888888889,1973.5326666666665
1998,1472.0,2432.0,2624.0,75.2188888888889,1972.283
1999,1472.0,2432.0,2816.0,83.43222222222221,2111.2676666666666
2000,1472.0,2432.0,3008.0,76.02777777777779,1960.8135555555555
2001,1472.0,2624.0,128.0,47.87111111111112,7947.6081111111125
2002,1472.0,2624.0,320.0,49.75111111111112,4123.990000000001
2003,1472.0,2624.0,512.0,52.07555555555557,3229.1415555555554
2004,1472.0,2624.0,704.0,53.915555555555564,2771.9833333333327
2005,1472.0,2624.0,896.0,54.616666666666674,2466.3986666666665
2006,1472.0,2624.0,1088.0,57.155555555555566,2357.2434444444443
