Budget,BCR_disabled_RT,BCR_RT/M_RT,BCR_ERT/C_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_RT/M_Cost,BCR_ERT/C_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_RT/M_Config,BCR_ERT/C_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_RT/M_Iterations,BCR_ERT/C_Iterations,BCR_MAX_Iterations,BCR_threshold
44.45524130190797,2314.532555555555,2314.532555555555,5233.657777777777,2314.532555555555,43.73777777777777,43.73777777777777,43.49333333333333,43.73777777777777,"{1: 896, 2: 1280, 4: 1280}","{1: 896, 2: 1280, 4: 1280}","{1: 896, 2: 128, 4: 1280}","{1: 896, 2: 1280, 4: 1280}",4.0,4.0,3.0,7.0,0.2
45.15632996632996,2283.118222222222,2283.118222222222,5233.657777777777,2283.118222222222,44.77777777777778,44.77777777777778,43.49333333333333,44.77777777777778,"{1: 896, 2: 1472, 4: 1280}","{1: 896, 2: 1472, 4: 1280}","{1: 896, 2: 128, 4: 1280}","{1: 896, 2: 1472, 4: 1280}",4.0,4.0,3.0,8.0,0.2
45.857418630751965,2260.4048888888883,2260.4048888888883,5233.657777777777,2260.4048888888883,45.82111111111111,45.82111111111111,43.49333333333333,45.82111111111111,"{1: 896, 2: 1664, 4: 1280}","{1: 896, 2: 1664, 4: 1280}","{1: 896, 2: 128, 4: 1280}","{1: 896, 2: 1664, 4: 1280}",4.0,4.0,3.0,9.0,0.2
46.55850729517396,2281.1161111111105,2281.1161111111105,2281.1161111111105,2260.4048888888883,46.51111111111111,46.51111111111111,46.51111111111111,45.82111111111111,"{1: 1088, 2: 1280, 4: 1280}","{1: 1088, 2: 1280, 4: 1280}","{1: 1088, 2: 1280, 4: 1280}","{1: 896, 2: 1664, 4: 1280}",4.0,4.0,4.0,9.0,0.2
47.259595959595956,2309.1411111111106,2309.1411111111106,5228.266333333332,2240.2808888888885,47.20444444444445,47.20444444444445,46.96,46.861111111111114,"{1: 896, 2: 1280, 4: 1472}","{1: 896, 2: 1280, 4: 1472}","{1: 896, 2: 128, 4: 1472}","{1: 896, 2: 1856, 4: 1280}",4.0,4.0,3.0,10.0,0.2
47.96068462401796,2218.165444444444,2218.165444444444,5137.290666666666,2237.4129999999996,47.67222222222222,47.67222222222222,47.42777777777778,47.904444444444444,"{1: 896, 2: 1280, 4: 1664}","{1: 896, 2: 1280, 4: 1664}","{1: 896, 2: 128, 4: 1664}","{1: 896, 2: 2048, 4: 1280}",4.0,4.0,3.0,11.0,0.2
48.66177328843995,2218.165444444444,2218.165444444444,5137.290666666666,2237.4129999999996,47.67222222222222,47.67222222222222,47.42777777777778,47.904444444444444,"{1: 896, 2: 1280, 4: 1664}","{1: 896, 2: 1280, 4: 1664}","{1: 896, 2: 128, 4: 1664}","{1: 896, 2: 2048, 4: 1280}",4.0,4.0,3.0,11.0,0.2
49.36286195286195,2186.7511111111107,2186.7511111111107,5137.290666666666,2186.7511111111107,48.71222222222222,48.71222222222222,47.42777777777778,48.71222222222222,"{1: 896, 2: 1472, 4: 1664}","{1: 896, 2: 1472, 4: 1664}","{1: 896, 2: 128, 4: 1664}","{1: 896, 2: 1472, 4: 1664}",4.0,4.0,3.0,9.0,0.2
50.06395061728395,2164.037777777777,2164.037777777777,5137.290666666666,2164.037777777777,49.75555555555555,49.75555555555555,47.42777777777778,49.75555555555555,"{1: 896, 2: 1664, 4: 1664}","{1: 896, 2: 1664, 4: 1664}","{1: 896, 2: 128, 4: 1664}","{1: 896, 2: 1664, 4: 1664}",4.0,4.0,3.0,10.0,0.2
50.76503928170595,2328.4446666666663,2184.7489999999993,5105.311555555555,2164.037777777777,50.33,50.445555555555565,50.54777777777778,49.75555555555555,"{1: 896, 2: 896, 4: 1856}","{1: 1088, 2: 1280, 4: 1664}","{1: 896, 2: 128, 4: 1856}","{1: 896, 2: 1664, 4: 1664}",4.0,4.0,3.0,10.0,0.2
