,1,2,Cost,RT
90,1088.0,1856.0,26.256666666666668,1102.8212222222219
91,1088.0,2048.0,27.3,1099.953333333333
92,1088.0,2240.0,28.343333333333334,1098.4987777777774
93,1088.0,2432.0,29.383333333333333,1099.5791111111107
94,1088.0,2624.0,30.42666666666667,1102.516333333333
95,1088.0,2816.0,31.46666666666667,1102.023111111111
96,1088.0,3008.0,32.51,1098.837333333333
97,1280.0,128.0,25.67111111111111,4087.074666666666
98,1280.0,320.0,25.915555555555557,2145.416444444444
99,1280.0,512.0,26.382222222222225,1645.058111111111
100,1280.0,704.0,26.608888888888888,1434.2638888888887
101,1280.0,896.0,25.453333333333337,1310.2077777777774
102,1280.0,1088.0,26.84,1225.2724444444443
103,1280.0,1280.0,25.915555555555557,1167.9494444444442
104,1280.0,1472.0,26.955555555555556,1136.5351111111108
105,1280.0,1664.0,27.99888888888889,1113.8217777777777
106,1280.0,1856.0,29.038888888888888,1093.6977777777774
107,1280.0,2048.0,30.082222222222224,1090.8298888888887
108,1280.0,2240.0,31.125555555555557,1089.3753333333332
109,1280.0,2432.0,32.16555555555556,1090.4556666666665
110,1280.0,2624.0,33.20888888888889,1093.3928888888886
111,1280.0,2816.0,34.248888888888885,1092.8996666666665
112,1280.0,3008.0,35.29222222222222,1089.7138888888887
113,1472.0,128.0,25.782222222222227,4051.9447777777764
114,1472.0,320.0,26.026666666666674,2110.2865555555554
115,1472.0,512.0,26.49333333333334,1609.9282222222223
116,1472.0,704.0,26.720000000000006,1399.134
117,1472.0,896.0,25.56444444444445,1275.0778888888888
118,1472.0,1088.0,26.951111111111114,1190.1425555555556
119,1472.0,1280.0,26.026666666666674,1132.8195555555556
120,1472.0,1472.0,27.06666666666667,1101.4052222222222
121,1472.0,1664.0,28.110000000000003,1078.6918888888888
122,1472.0,1856.0,29.150000000000002,1058.5678888888888
123,1472.0,2048.0,30.193333333333342,1055.7
124,1472.0,2240.0,31.23666666666667,1054.2454444444443
125,1472.0,2432.0,32.27666666666667,1055.3257777777778
126,1472.0,2624.0,33.32000000000001,1058.263
127,1472.0,2816.0,34.36000000000001,1057.7697777777778
128,1472.0,3008.0,35.403333333333336,1054.584
129,1664.0,128.0,31.22666666666667,4147.119333333333
130,1664.0,320.0,31.471111111111114,2205.461111111111
131,1664.0,512.0,31.93777777777778,1705.102777777778
132,1664.0,704.0,32.16444444444445,1494.3085555555558
133,1664.0,896.0,31.00888888888889,1370.2524444444443
134,1664.0,1088.0,32.39555555555555,1285.3171111111112
135,1664.0,1280.0,31.471111111111114,1227.9941111111111
136,1664.0,1472.0,32.51111111111111,1196.579777777778
137,1664.0,1664.0,33.55444444444445,1173.8664444444446
138,1664.0,1856.0,34.59444444444444,1153.7424444444446
139,1664.0,2048.0,35.637777777777785,1150.8745555555556
140,1664.0,2240.0,36.681111111111115,1149.42
141,1664.0,2432.0,37.72111111111111,1150.5003333333334
142,1664.0,2624.0,38.76444444444445,1153.4375555555557
