,1M_Exe_Cost
368,83.29700000000001
369,86.63199999999999
370,83.905
371,83.29700000000001
372,82.985
373,124.403
374,57.039
375,83.29700000000001
376,92.65500000000002
377,90.59100000000001
378,86.944
379,110.684
380,90.59100000000001
381,89.008
382,60.998999999999995
383,87.778
384,59.103
385,56.717
386,86.944
387,79.633
388,87.778
389,85.798
390,85.798
391,89.445
392,57.039
393,60.998999999999995
394,60.998999999999995
395,86.944
396,85.798
397,58.498000000000005
398,84.32900000000001
399,83.29700000000001
400,84.32900000000001
401,84.131
402,58.498000000000005
403,58.071
404,58.498000000000005
405,89.445
406,87.778
407,54.226
408,58.498000000000005
409,86.944
410,58.498000000000005
411,86.944
412,85.798
413,83.29700000000001
414,58.498000000000005
415,58.498000000000005
416,89.008
417,57.039
418,86.944
419,83.29700000000001
420,127.895
421,86.944
422,57.039
423,58.498000000000005
424,86.944
425,87.976
426,83.29700000000001
427,55.685
428,86.944
429,58.498000000000005
430,87.976
431,89.445
432,83.29700000000001
433,83.29700000000001
434,60.998999999999995
435,109.85000000000001
436,57.039
437,84.131
438,104.224
439,58.498000000000005
440,90.59100000000001
441,81.40400000000001
442,82.985
443,89.445
444,83.29700000000001
445,90.27900000000001
446,58.498000000000005
447,55.685
448,84.32900000000001
449,58.071
450,60.998999999999995
451,103.39
452,57.039
453,58.498000000000005
454,58.498000000000005
455,87.976
456,86.944
457,87.778
458,58.071
459,81.21400000000001
460,86.944
461,87.976
462,59.53
463,84.32900000000001
464,58.498000000000005
465,86.944
466,84.131
467,57.039
468,86.944
469,58.498000000000005
470,79.94500000000001
471,56.717
472,84.131
473,57.039
474,90.59100000000001
475,86.944
476,55.685
477,83.29700000000001
478,80.48400000000001
479,86.944
480,84.131
481,58.498000000000005
482,86.944
483,94.238
484,86.944
485,58.498000000000005
486,58.498000000000005
487,81.516
488,58.498000000000005
489,58.498000000000005
490,86.944
491,109.85000000000001
492,87.976
493,83.29700000000001
494,57.039
495,54.122
496,79.94500000000001
497,83.29700000000001
498,58.498000000000005
499,55.685
500,80.48400000000001
501,84.32900000000001
502,80.48400000000001
503,58.498000000000005
504,58.498000000000005
505,86.944
506,80.48400000000001
507,85.163
508,83.29700000000001
509,90.03999999999999
510,80.48400000000001
511,58.498000000000005
512,84.131
513,86.944
514,86.944
515,86.944
516,89.008
517,59.53
518,123.49099999999999
519,84.02700000000002
520,86.944
521,85.163
522,90.59100000000001
523,59.53
524,86.944
525,57.039
526,86.944
527,54.226
528,109.85000000000001
529,57.039
530,58.498000000000005
531,86.006
532,87.976
533,83.29700000000001
534,83.29700000000001
535,56.717
536,58.071
537,86.944
538,84.131
539,59.53
540,86.944
541,89.445
542,57.039
543,59.54
544,89.445
545,89.445
546,93.09200000000001
547,82.985
548,115.99799999999999
549,112.35100000000001
550,60.998999999999995
551,60.998999999999995
