Function,Memory Size,Max Memory Used,Duration,Billed Duration,RequestId
f2,2944,59,203.69,300,6a07c2bf-caf1-4082-8359-7b44e6f7598d
f2,2944,59,202.59,300,ad34ce51-e333-407a-9a81-40ecc80bc71f
f2,2944,59,199.94,200,7c0b392e-ab37-49a4-aa2c-2de72d089a93
f2,2944,59,200.47,300,dede0075-5b89-475a-abd7-826cb4915d36
f2,2944,59,200.0,300,633a3b10-4cdc-4788-a369-c4a5d465dc99
f2,2944,59,201.1,300,6258d45f-9bfd-40c0-b068-f6cd0cae8b74
f2,2944,59,201.41,300,991c62ae-c5ff-43d9-a5e6-c7e6fc17e256
f2,2944,59,200.91,300,fd10ac3c-8e75-4fda-889d-324b67426c85
f2,2944,59,199.37,200,8bf36911-f19e-4445-b716-f06fa31b655e
f2,2944,59,200.0,300,c57f5660-afd4-44f5-ad67-c3a12000d704
f2,2944,59,202.38,300,95048c64-0cf8-4c4f-a0ca-b54dbae5e219
f2,2944,59,200.6,300,d3f42094-984a-42dd-92d0-528da72f5fe0
f2,2944,59,200.59,300,4267fa58-99be-4587-9b9f-15941d6b203e
f2,2944,59,201.49,300,ec89406f-c7f0-4ca0-b997-4bb7a89d1938
f2,2944,59,202.3,300,c312777b-a915-4d9e-a249-9ba309aa6b04
f2,2944,59,199.55,200,60a0709f-5b8c-44b6-b048-688beab91be0
f2,2944,59,203.26,300,694bf817-425e-4e62-ad13-76de6789a10c
f2,2944,59,200.98,300,1373b704-1b38-44d2-9f41-61ec1a7b005e
f2,2944,59,201.7,300,83076063-fcdf-4203-beb8-7dcb6e2450f5
f2,2944,59,200.36,300,dca6dd57-936b-4f8a-90e0-2e7e0e2d961c
f2,2944,59,202.32,300,493ea0f9-7e98-4b43-a8c2-a1040008a567
f2,2944,59,200.33,300,3b73900b-29e7-4255-9e01-1c7265c8446d
f2,2944,59,200.86,300,cea81e72-84f2-4b36-8a0a-ea19960c21ae
f2,2944,59,202.64,300,cf835e42-e28d-4dab-832a-ebbd8d2fceab
f2,2944,59,202.48,300,b372446e-c036-4647-9668-fa2dd2ce8c7e
f2,2944,59,200.14,300,cd7c95c5-4558-4be9-9246-c6f33e821e08
f2,2944,59,200.06,300,d7bf8b2b-b6c4-4253-886e-462f0ebed28b
f2,2944,59,202.22,300,bc0e2363-bf11-453f-aca6-584e84d0dc7d
f2,2944,58,201.6,300,c48565a9-ae1e-41d5-b050-4e8cad932a50
f2,2944,58,203.42,300,e51dd73d-e5f5-41bf-a828-70d9feba44cd
f2,2944,58,200.63,300,0eae6fa6-7a83-4fe9-8049-352775da7346
f2,2944,58,202.63,300,35d15e8c-909f-4da1-870d-43e6d751643a
f2,2944,58,200.43,300,35c5b1b4-bc62-433c-b240-7f09999d17c0
f2,2944,58,201.95,300,9e30df3f-2c91-4144-a62d-fa4d678d6dd4
f2,2880,61,205.18,300,67101b70-089b-4b68-92d5-98bad4661835
f2,2880,61,203.48,300,8383e7b3-ec07-4f3b-8915-d4ab16d5afde
f2,2880,61,202.9,300,5ca2daad-e559-4433-8d34-b102071cc0dc
f2,2880,61,207.78,300,47e5ee93-ebdd-4a5d-812a-e3649670ef7d
f2,2880,61,203.86,300,27cd3aee-0af1-468d-9cd9-cbd8ac36bbc7
f2,2880,61,204.27,300,7f753e6e-73c8-4014-a9e4-0152aea60e66
f2,2880,61,204.24,300,846f3562-9904-4c64-859a-8906e77bbf3b
f2,2880,61,203.41,300,d3afe496-b798-4abf-8955-255ce436d005
f2,2880,61,203.52,300,576ad58f-60e2-452d-9892-3f23bdec7d16
f2,2880,61,206.49,300,30f5a40c-ad41-4c37-90c2-f6cf5e2a59ed
f2,2880,61,203.66,300,895b5e94-de3f-4c7c-82b9-30df70ce9a46
f2,2880,61,202.77,300,344e3ad5-87e2-4c2e-82c3-38cc7cf0b67e
f2,2880,61,203.22,300,021d0aa2-a834-44a1-a5fc-6282fea730aa
f2,2880,61,204.43,300,5de0b505-1703-404a-b7b1-54c4720f8e77
f2,2880,60,203.55,300,dcaa1755-710f-4b8e-ba7d-2d27b282b8d8
f2,2880,60,204.63,300,167902d2-d912-46db-9064-45bd9fe36751
f2,2880,60,214.8,300,a9675a5d-2a76-45de-be46-4343fafbf53f
f2,2880,60,205.21,300,f1e2784e-f7d4-427d-882a-2232b7d3d852
f2,2880,60,204.11,300,991cd79c-713b-4a1e-9f32-71197f6737b8
f2,2880,60,202.97,300,cd74fa10-5361-420c-a76d-5883bcfa809d
f2,2880,60,204.1,300,9c4eedb8-a5f1-4206-b7d8-0b9ef13aefaa
f2,2880,60,204.36,300,1b415fe8-54f2-4af5-a8b0-839c00e324ea
f2,2880,60,203.44,300,471ac09e-dae2-42fd-b324-6bdb0ef33dee
f2,2880,60,203.77,300,6063a7f7-86cf-4fc5-a83c-f7010a618046
f2,2880,60,203.78,300,1e720dec-ce69-48eb-91f4-43efcf5c014a
f2,2880,60,202.1,300,fe2a5075-1524-4cc3-a383-6b2747a09ec1
f2,2880,60,203.33,300,d2f168a6-e4d5-46a2-907a-28da8a1d489e
f2,2880,60,203.27,300,9aba2b81-3ed2-48b3-82d3-96894351283b
f2,2880,60,205.42,300,14021f32-a2d3-4fd6-93a2-687dcc894290
f2,2880,60,204.09,300,6a5bfeb6-e915-4ad4-975c-c56e42144f29
f2,2880,60,208.04,300,9eb7b462-1baa-4402-83d9-adf6dc9cc4a6
f2,2880,60,203.28,300,caedabcd-a911-4b6e-b318-b3835133ae96
f2,2880,60,206.2,300,c402d33c-b48b-48e5-9395-138f76624d19
f2,2880,60,202.25,300,2d13d9c9-99c8-4a0f-8fa3-5480f917cab6
f2,2880,60,203.37,300,b243b378-7147-4424-8c38-fb7e83c485ff
f2,2880,60,203.52,300,0b9bb1d5-1366-4424-b0ff-b324fd97869f
f2,2880,60,204.02,300,ec0854df-a630-4e0f-9cc8-c8237217f5b2
f2,2880,60,205.68,300,74decf9e-4cd3-4a77-86fd-b7b1dce421ab
f2,2880,60,205.86,300,69075a4e-3a4a-44e9-818e-f94379f805c3
f2,2880,60,203.49,300,105ab209-d274-45c6-a80d-50943893c81d
f2,2880,60,203.81,300,1dab4abc-7a9d-4d90-a217-52006f24dc92
