Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,61,749.87,800,1580352643.0,6c4a417d-2957-4578-a7ee-70ecae02c24d
f1,1536,61,725.65,800,1580352654.0,87c0b56d-f934-4e58-a162-7d96ac473f84
f1,1536,61,730.04,800,1580352664.0,98367e6e-f818-4914-81c1-40f6d5db066b
f1,1536,61,727.13,800,1580352674.0,070b5189-9b81-4378-b2cd-c13cce181453
f1,1536,61,717.71,800,1580352684.0,ced7116d-5c2c-4864-afa6-d9621a9a2028
f1,1536,61,750.67,800,1580352694.0,886014b3-0f46-4ef6-825b-b24af3cb3be0
f1,1536,61,720.77,800,1580352704.0,f4982f37-4e47-48d9-8f1f-ab18aee5e3cf
f1,1536,61,728.0,800,1580352715.0,62ad7332-8172-404c-8bf9-0ad2e11d0b62
f1,1536,61,630.24,700,1580352725.0,735629b8-c627-4dda-9ed2-d5b93639ed57
f1,1536,61,634.58,700,1580352735.0,4971d891-c9a0-41b6-9b77-7c0abf0a858e
f1,1536,61,720.58,800,1580352745.0,ed4cdcf2-9b83-4484-b908-6f56d25e2b6a
f1,1536,61,730.11,800,1580352755.0,b6c6192d-81c0-4141-b653-11ba3ee0021e
f1,1536,61,726.58,800,1580352765.0,eb05387b-1f23-46cc-8f6b-45c440b7d287
f1,1536,61,730.86,800,1580352776.0,3538750a-ebda-4b0c-9302-b331d6fcd176
f1,1536,61,823.03,900,1580352786.0,6e7c73c8-3f89-4808-8cd2-9d6c63f3ac7d
f1,1536,61,728.81,800,1580352796.0,a58e9d41-571f-489c-8deb-5ba10be6d380
f1,1536,61,825.05,900,1580352806.0,9f7963e5-fb8e-433f-b1ef-cb61c3bbdcd0
f1,1536,61,727.71,800,1580352816.0,433d3add-eede-4ef5-895d-36cc8f635e8f
f1,1536,61,744.3,800,1580352827.0,a2ebc378-8ec4-44a9-ad40-e7b429436373
f1,1536,61,733.56,800,1580352837.0,982b34db-4439-4858-83d9-e39c9beb9e04
f1,1536,61,734.67,800,1580352847.0,719d0af7-c06d-469e-8e88-7b0cd3ae1bcb
f1,1536,61,726.43,800,1580352857.0,07d363f9-2969-4e86-a817-363bb1968f8d
f1,1536,61,811.1,900,1580352867.0,b5b42098-492a-4da0-b304-f9d6369b41d6
f1,1536,61,730.16,800,1580352878.0,6cc05c09-9c5f-4f89-a9f7-8c88cc39bc97
