Start,End
1580359330.707,1580359333.513
1580359340.87,1580359343.714
1580359351.068,1580359353.914
1580359361.528,1580359364.394
1580359371.705,1580359375.234
1580359381.998,1580359384.754
1580359392.217,1580359396.335
1580359402.392,1580359405.474
1580359412.618,1580359415.474
1580359422.778,1580359426.175
1580359432.953,1580359436.516
1580359443.166,1580359446.154
1580359453.337,1580359456.335
1580359463.508,1580359468.794
1580359473.689,1580359477.694
1580359483.952,1580359487.655
1580359494.133,1580359497.595
1580359504.326,1580359507.735
1580359514.532,1580359517.376
1580359524.719,1580359527.775
1580359534.882,1580359538.375
1580359545.045,1580359547.897
1580359555.213,1580359557.976
1580359565.37,1580359568.176
1580359575.534,1580359578.596
1580359585.728,1580359588.755
1580359595.875,1580359599.937
1580359606.356,1580359609.275
1580359616.579,1580359621.398
1580359626.758,1580359630.197
1580359636.914,1580359640.856
1580359647.074,1580359649.856
1580359657.271,1580359660.157
1580359667.414,1580359670.396
1580359677.578,1580359681.636
1580359687.737,1580359690.536
1580359697.929,1580359701.471
1580359708.128,1580359712.202
1580359718.298,1580359721.737
1580359728.437,1580359732.877
1580359738.615,1580359741.417
1580359748.801,1580359754.758
1580359758.946,1580359762.397
1580359769.114,1580359772.577
1580359779.277,1580359782.077
1580359789.43,1580359793.857
1580359799.622,1580359803.178
1580359809.785,1580359813.899
1580359819.951,1580359824.059
1580359830.138,1580359834.058
1580359840.291,1580359843.298
1580359850.766,1580359855.498
1580359860.933,1580359863.72
1580359871.142,1580359875.219
1580359881.36,1580359884.178
1580359891.53,1580359894.299
1580359901.694,1580359904.518
1580359911.877,1580359916.299
1580359922.151,1580359924.918
1580359932.368,1580359935.378
1580359942.517,1580359945.499
1580359952.682,1580359956.719
1580359962.842,1580359966.02
1580359973.02,1580359975.859
1580359983.249,1580359986.079
1580359993.41,1580359996.219
1580360003.61,1580360007.519
1580360013.801,1580360016.64
1580360023.967,1580360026.779
1580360034.164,1580360038.705
1580360044.388,1580360047.26
1580360054.578,1580360057.36
1580360064.76,1580360068.18
1580360074.924,1580360078.94
1580360085.088,1580360088.88
1580360095.554,1580360101.261
1580360105.738,1580360108.542
1580360115.886,1580360119.26
1580360126.016,1580360128.82
1580360136.181,1580360139.3
1580360146.385,1580360149.82
1580360156.55,1580360159.28
1580360166.646,1580360170.221
1580360176.836,1580360180.66
1580360186.974,1580360190.181
1580360197.179,1580360199.781
1580360207.321,1580360209.942
1580360217.541,1580360220.741
1580360227.721,1580360230.642
1580360237.897,1580360241.161
1580360248.052,1580360250.661
1580360258.285,1580360260.901
1580360268.46,1580360272.361
1580360278.699,1580360282.702
1580360288.867,1580360292.462
1580360299.067,1580360301.702
1580360309.245,1580360311.962
1580360319.41,1580360322.622
1580360329.583,1580360332.202
1580360340.02,1580360343.393
1580360350.236,1580360354.143
1580360360.37,1580360363.063
1580360370.56,1580360373.142
1580360380.72,1580360384.523
1580360390.891,1580360393.562
1580360401.027,1580360405.142
1580360411.231,1580360417.523
1580360421.397,1580360424.003
1580360431.573,1580360436.903
1580360441.738,1580360444.683
1580360451.895,1580360455.644
1580360462.199,1580360466.564
1580360472.336,1580360476.284
1580360482.487,1580360485.164
1580360492.653,1580360495.843
1580360502.809,1580360505.483
1580360513.001,1580360516.963
1580360523.187,1580360525.823
1580360533.378,1580360536.643
1580360543.532,1580360546.625
1580360553.741,1580360558.307
1580360563.977,1580360567.345
1580360574.112,1580360576.844
1580360584.521,1580360587.144
1580360594.687,1580360599.684
1580360604.902,1580360608.844
1580360615.07,1580360617.705
1580360625.258,1580360628.764
1580360635.409,1580360638.744
1580360645.591,1580360648.265
1580360655.766,1580360659.384
1580360665.941,1580360668.805
1580360676.124,1580360679.505
1580360686.312,1580360688.95
1580360696.463,1580360699.725
1580360706.625,1580360709.565
1580360716.792,1580360719.366
1580360726.977,1580360729.567
1580360737.146,1580360740.506
1580360747.358,1580360751.286
1580360757.484,1580360761.187
1580360767.714,1580360770.985
1580360777.884,1580360780.466
1580360788.037,1580360792.749
1580360798.22,1580360800.966
1580360808.413,1580360811.087
1580360818.552,1580360823.106
1580360828.99,1580360831.867
1580360839.139,1580360841.787
1580360849.299,1580360852.369
1580360859.469,1580360862.746
1580360869.678,1580360873.587
1580360879.8,1580360882.426
1580360889.967,1580360893.847
1580360900.148,1580360904.006
1580360910.378,1580360913.047
1580360920.558,1580360923.546
1580360930.725,1580360933.368
1580360940.921,1580360944.39
1580360951.099,1580360955.107
1580360961.269,1580360963.968
1580360971.455,1580360974.728
1580360981.592,1580360985.547
1580360991.799,1580360995.727
1580361002.592,1580361005.328
1580361013.141,1580361017.008
1580361023.325,1580361026.748
1580361033.48,1580361036.728
1580361043.722,1580361048.148
1580361053.899,1580361057.768
1580361064.101,1580361067.108
1580361074.537,1580361077.789
1580361084.712,1580361087.451
1580361094.883,1580361098.608
1580361105.05,1580361108.109
1580361115.224,1580361117.929
1580361125.417,1580361128.769
1580361135.584,1580361138.329
1580361145.752,1580361148.649
1580361155.921,1580361159.329
1580361166.1,1580361170.009
1580361176.271,1580361179.869
1580361186.44,1580361189.93
1580361196.605,1580361201.19
1580361206.798,1580361210.169
1580361216.972,1580361219.79
1580361227.226,1580361231.21
1580361237.408,1580361240.43
1580361247.574,1580361250.31
1580361257.739,1580361260.63
1580361267.913,1580361272.291
1580361278.093,1580361280.73
1580361288.226,1580361291.549
1580361298.421,1580361300.993
1580361308.574,1580361311.19
1580361319.003,1580361321.81
1580361329.214,1580361332.911
1580361339.426,1580361344.071
1580361349.633,1580361352.831
1580361359.825,1580361363.23
1580361369.99,1580361373.611
1580361380.154,1580361383.831
1580361390.342,1580361392.91
1580361400.571,1580361403.171
1580361410.707,1580361414.511
1580361420.882,1580361424.971
1580361431.046,1580361434.211
1580361441.222,1580361445.171
1580361451.424,1580361455.712
1580361461.62,1580361464.191
1580361471.79,1580361474.471
1580361481.989,1580361484.613
1580361492.15,1580361494.912
1580361502.326,1580361504.973
1580361512.533,1580361515.932
1580361522.692,1580361527.852
1580361532.85,1580361535.553
1580361543.114,1580361545.872
1580361553.279,1580361555.893
1580361563.69,1580361566.313
1580361573.85,1580361578.533
1580361584.001,1580361586.732
1580361594.13,1580361597.453
1580361604.333,1580361607.073
1580361614.576,1580361617.313
1580361624.768,1580361628.193
1580361634.91,1580361637.572
1580361645.105,1580361649.033
1580361655.285,1580361659.893
1580361665.467,1580361668.254
1580361675.621,1580361679.034
1580361685.812,1580361688.553
1580361695.984,1580361699.294
1580361706.161,1580361708.873
1580361716.307,1580361720.374
1580361726.492,1580361729.914
1580361736.69,1580361739.393
1580361746.895,1580361749.576
1580361757.074,1580361760.156
1580361767.228,1580361772.194
1580361777.414,1580361780.815
1580361787.623,1580361790.694
1580361797.793,1580361801.114
1580361808.258,1580361811.214
1580361818.425,1580361822.674
1580361828.619,1580361832.554
1580361838.834,1580361842.135
1580361849.009,1580361853.934
1580361859.156,1580361862.815
1580361869.34,1580361872.234
1580361879.495,1580361883.416
1580361889.693,1580361893.035
1580361899.853,1580361904.395
1580361910.016,1580361913.255
1580361920.183,1580361923.576
1580361930.356,1580361933.716
1580361940.565,1580361943.875
1580361950.724,1580361953.475
1580361960.891,1580361963.616
1580361971.066,1580361973.936
1580361981.239,1580361984.316
1580361991.385,1580361994.096
1580362001.552,1580362005.456
1580362011.727,1580362015.196
1580362021.97,1580362024.657
1580362032.179,1580362035.596
1580362042.334,1580362047.536
1580362052.788,1580362056.177
1580362062.959,1580362065.676
1580362073.109,1580362075.776
1580362083.309,1580362085.977
1580362093.47,1580362097.156
1580362103.635,1580362107.057
1580362113.814,1580362117.836
1580362123.968,1580362128.278
1580362134.161,1580362137.458
1580362144.351,1580362147.297
1580362154.52,1580362157.137
1580362164.706,1580362168.558
1580362174.875,1580362178.257
1580362185.02,1580362188.398
1580362195.197,1580362197.958
1580362205.374,1580362209.057
1580362215.488,1580362218.119
1580362225.69,1580362228.739
1580362235.867,1580362239.238
1580362246.039,1580362248.758
1580362256.196,1580362259.518
1580362266.338,1580362269.718
1580362276.504,1580362279.919
1580362286.62,1580362289.439
1580362297.081,1580362301.038
1580362307.264,1580362309.958
1580362317.509,1580362320.178
1580362327.623,1580362330.341
1580362337.793,1580362341.239
1580362347.972,1580362351.358
1580362358.186,1580362361.799
1580362368.353,1580362372.418
1580362378.554,1580362381.239
1580362388.692,1580362391.56
1580362398.85,1580362401.579
1580362409.02,1580362412.279
1580362419.19,1580362422.479
1580362429.341,1580362432.039
1580362439.501,1580362442.879
1580362449.724,1580362453.139
1580362459.858,1580362463.199
1580362470.025,1580362472.68
1580362480.226,1580362482.94
1580362490.407,1580362494.76
1580362500.559,1580362504.701
1580362510.75,1580362514.14
1580362520.934,1580362523.621
1580362531.096,1580362534.141
1580362541.524,1580362546.14
1580362551.677,1580362554.34
1580362561.983,1580362565.299
1580362572.187,1580362574.86
1580362582.384,1580362585.74
1580362592.553,1580362595.48
1580362602.751,1580362606.2
1580362612.905,1580362616.28
1580362623.129,1580362625.76
1580362633.355,1580362637.041
1580362643.557,1580362646.221
1580362653.748,1580362656.501
1580362663.899,1580362666.58
1580362674.052,1580362676.881
1580362684.278,1580362686.96
1580362694.486,1580362697.161
1580362704.657,1580362708.9
1580362714.836,1580362717.74
1580362725.033,1580362728.501
1580362735.2,1580362738.081
1580362745.391,1580362749.24
1580362755.549,1580362758.28
1580362765.725,1580362768.92
1580362775.898,1580362779.841
1580362786.313,1580362789.242
1580362796.476,1580362799.181
1580362806.688,1580362810.002
1580362816.817,1580362820.141
1580362826.993,1580362830.241
1580362837.151,1580362840.401
1580362847.348,1580362852.302
1580362857.554,1580362860.042
1580362867.707,1580362870.661
1580362877.892,1580362881.521
1580362888.045,1580362890.522
1580362898.201,1580362900.781
1580362908.363,1580362910.941
1580362918.541,1580362922.444
1580362928.708,1580362931.542
1580362938.892,1580362941.522
1580362949.058,1580362951.763
1580362959.213,1580362963.542
1580362969.371,1580362972.003
1580362979.536,1580362982.182
1580362989.687,1580362993.282
1580362999.865,1580363004.142
1580363010.015,1580363012.683
1580363020.189,1580363023.503
1580370231.721,1580370235.126
1580370241.939,1580370246.865
1580370252.117,1580370254.405
1580370262.261,1580370265.305
1580370272.48,1580370275.725
1580370282.706,1580370285.265
1580370292.861,1580370296.165
1580370303.157,1580370308.146
1580370313.387,1580370315.986
1580370323.563,1580370326.826
1580370333.732,1580370336.325
1580370343.912,1580370346.486
1580370354.09,1580370358.285
1580370364.271,1580370366.827
1580370374.507,1580370377.086
1580370384.66,1580370388.485
1580370394.832,1580370397.386
1580370405.006,1580370407.746
1580370415.181,1580370420.055
1580370425.381,1580370428.526
1580370435.551,1580370438.286
1580370445.756,1580370448.95
1580370455.888,1580370459.127
1580370466.1,1580370468.646
1580370476.534,1580370479.126
1580370486.685,1580370489.267
1580370496.853,1580370499.446
1580370507.031,1580370510.607
1580370517.187,1580370519.746
1580370527.406,1580370530.626
1580370537.561,1580370540.346
1580370547.755,1580370550.587
1580370557.935,1580370561.029
1580370568.109,1580370571.387
1580370578.31,1580370582.567
1580370588.492,1580370591.807
1580370598.654,1580370602.548
1580370608.784,1580370611.347
1580370618.915,1580370621.493
1580370629.091,1580370632.328
1580370639.229,1580370641.907
1580370649.371,1580370651.967
1580370659.539,1580370663.428
1580370669.712,1580370672.907
1580370679.912,1580370682.707
1580370690.074,1580370693.248
1580370700.288,1580370703.048
1580370710.475,1580370713.269
1580370720.884,1580370724.068
1580370731.077,1580370733.807
1580370741.255,1580370745.028
1580370751.409,1580370754.592
1580370761.586,1580370764.528
1580370771.753,1580370775.888
1580370781.99,1580370784.567
1580370792.145,1580370794.688
1580370802.327,1580370805.088
1580370812.564,1580370815.329
1580370822.746,1580370826.569
1580370832.949,1580370836.108
1580370843.122,1580370846.328
1580370853.324,1580370855.929
1580370863.471,1580370867.271
1580370873.664,1580370877.149
1580370883.847,1580370886.428
1580370894.02,1580370898.228
1580370904.28,1580370907.469
1580370914.489,1580370917.669
1580370924.679,1580370927.269
1580370934.867,1580370937.648
1580370945.036,1580370947.649
1580370955.223,1580370958.37
1580370965.632,1580370968.229
1580370975.812,1580370978.389
1580370985.983,1580370989.749
1580370996.149,1580370998.69
1580371006.315,1580371010.71
1580371016.484,1580371019.271
1580371026.651,1580371030.19
1580371036.818,1580371039.35
1580371047.007,1580371049.911
1580371057.194,1580371059.749
1580371067.367,1580371071.451
1580371077.567,1580371081.31
1580371087.736,1580371090.29
1580371097.885,1580371100.99
1580371108.047,1580371110.61
1580371118.278,1580371122.09
1580371128.45,1580371131.05
1580371138.623,1580371142.15
1580371148.814,1580371154.43
1580371159.085,1580371162.19
1580371169.264,1580371171.85
1580371179.426,1580371182.591
1580371189.598,1580371193.13
1580371199.748,1580371202.695
1580371210.256,1580371214.111
1580371220.389,1580371223.591
1580371230.579,1580371233.171
1580371240.756,1580371244.01
1580371250.905,1580371254.13
1580371261.143,1580371264.992
1580371271.282,1580371273.871
1580371281.464,1580371284.612
1580371291.618,1580371295.152
1580371301.81,1580371304.392
1580371311.967,1580371315.811
1580371322.421,1580371325.712
1580371332.629,1580371335.493
1580371342.777,1580371345.412
1580371352.955,1580371356.712
1580371363.14,1580371366.372
1580371373.309,1580371375.912
1580371383.516,1580371386.472
1580371393.69,1580371397.852
1580371403.857,1580371406.772
1580371414.059,1580371416.632
1580371424.195,1580371427.332
1580371434.397,1580371438.212
1580371444.592,1580371447.192
1580371454.998,1580371461.292
1580371465.185,1580371468.352
1580371475.371,1580371477.932
1580371485.534,1580371488.474
1580371495.719,1580371498.912
1580371505.913,1580371509.072
1580371516.105,1580371520.314
1580371526.302,1580371529.473
1580371536.527,1580371540.352
1580371546.685,1580371550.512
1580371556.874,1580371560.734
1580371567.077,1580371570.313
1580371577.297,1580371580.413
1580371587.427,1580371590.013
1580371597.619,1580371601.476
1580371607.792,1580371611.073
1580371617.986,1580371621.853
1580371628.153,1580371630.713
1580371638.337,1580371641.155
1580371648.55,1580371651.154
1580371658.706,1580371662.213
1580371668.878,1580371673.854
1580371679.062,1580371682.993
1580371689.248,1580371692.155
1580371699.679,1580371702.994
1580371709.823,1580371712.374
1580371720.021,1580371722.615
1580371730.187,1580371732.979
1580371740.346,1580371742.934
1580371750.526,1580371753.775
1580371760.744,1580371763.894
1580371770.928,1580371773.555
1580371781.101,1580371784.595
1580371791.269,1580371794.033
1580371801.695,1580371804.274
1580371811.922,1580371814.474
1580371822.146,1580371826.315
1580371832.31,1580371837.254
1580371842.483,1580371845.715
1580371852.673,1580371855.915
1580371862.885,1580371865.974
1580371873.049,1580371875.614
1580371883.241,1580371885.814
1580371893.419,1580371896.555
1580371903.596,1580371906.135
1580371913.785,1580371916.395
1580371924.008,1580371926.655
1580371934.184,1580371937.956
1580371944.615,1580371947.914
1580371954.79,1580371958.136
1580371964.998,1580371967.575
1580371975.149,1580371978.175
1580371985.36,1580371988.618
1580371995.531,1580371999.736
1580372005.701,1580372009.915
1580372015.87,1580372018.735
1580372026.076,1580372028.716
1580372036.241,1580372039.416
1580372046.432,1580372049.375
1580372056.59,1580372059.816
1580372066.75,1580372070.576
1580372076.905,1580372079.696
1580372087.07,1580372090.236
1580372097.227,1580372100.196
1580372107.395,1580372110.556
1580372117.556,1580372120.716
1580372127.723,1580372130.316
1580372137.875,1580372140.496
1580372148.037,1580372151.317
1580372158.179,1580372161.376
1580372168.373,1580372174.077
1580372178.528,1580372181.096
1580372188.977,1580372192.196
1580372199.137,1580372202.097
1580372209.317,1580372212.098
1580372219.481,1580372222.698
1580372229.612,1580372233.417
1580372239.723,1580372242.297
1580372249.859,1580372253.078
1580372260.028,1580372264.477
1580372270.083,1580372272.857
1580372280.234,1580372283.478
1580372290.367,1580372294.797
1580372300.537,1580372303.097
1580372310.647,1580372314.457
1580372320.763,1580372323.358
1580372330.875,1580372334.699
1580372341.002,1580372344.217
1580372351.106,1580372354.277
1580372361.301,1580372365.038
1580372371.405,1580372374.637
1580372381.54,1580372384.098
1580372391.688,1580372394.237
1580372402.079,1580372405.257
1580372412.352,1580372414.937
1580372422.481,1580372425.658
1580372432.864,1580372437.898
1580372443.005,1580372446.798
1580372453.165,1580372455.958
1580372463.353,1580372467.898
1580372473.556,1580372477.059
1580372483.731,1580372486.299
1580372493.87,1580372496.419
1580372504.043,1580372507.879
1580372514.212,1580372518.441
1580372524.395,1580372527.579
1580372534.605,1580372537.978
1580372544.799,1580372548.658
1580372554.958,1580372558.419
1580372565.114,1580372568.319
1580372575.285,1580372577.88
1580372585.496,1580372588.62
1580372595.661,1580372598.219
1580372605.852,1580372608.399
1580372616.03,1580372618.623
1580372626.208,1580372629.421
1580372636.38,1580372639.64
1580372646.54,1580372650.099
1580372656.716,1580372659.68
1580372666.869,1580372670.719
1580372677.334,1580372680.019
1580372687.509,1580372690.719
1580372697.692,1580372701.48
1580372707.875,1580372711.84
1580372718.069,1580372722.259
1580372728.258,1580372732.199
1580372738.426,1580372742.019
1580372748.589,1580372751.22
1580372758.767,1580372761.401
1580372768.962,1580372771.54
1580372779.133,1580372782.36
1580372789.395,1580372792.99
1580372799.471,1580372802.101
1580372809.635,1580372812.241
1580372819.803,1580372822.761
1580372829.992,1580372832.58
1580372840.145,1580372843.961
1580372850.309,1580372852.941
1580372860.49,1580372863.28
1580372870.664,1580372873.302
1580372880.819,1580372884.7
1580372890.975,1580372893.601
1580372901.159,1580372904.381
1580372911.299,1580372915.561
1580372921.749,1580372925.561
1580372931.93,1580372936.281
1580372942.168,1580372945.301
1580372952.331,1580372955.443
1580372962.498,1580372965.124
1580372972.685,1580372975.701
1580372982.844,1580372985.442
1580372992.994,1580372996.762
1580373003.276,1580373006.523
1580373013.587,1580373016.822
1580373023.658,1580373026.621
1580373033.876,1580373036.443
1580373044.038,1580373046.782
1580373054.21,1580373057.842
