,Duration
541,3371.000051498413
542,2817.999839782715
543,3983.9999675750732
544,3022.0000743865967
545,2736.0000610351562
546,2891.000270843506
547,4378.000259399414
548,2637.00008392334
549,3322.999954223633
550,2571.9997882843018
551,2616.000175476074
552,2807.000160217285
553,3697.000026702881
554,4644.999980926514
555,3198.000192642212
556,3404.9999713897705
557,3621.000051498413
558,3677.000045776367
559,2568.000078201294
560,2599.9999046325684
561,3804.00013923645
562,4088.9997482299805
563,3164.9999618530273
564,3948.9998817443848
565,4288.000106811523
566,2571.000099182129
567,2680.999994277954
568,2624.000072479248
569,2762.00008392334
570,2646.9998359680176
571,3399.0001678466797
572,5160.0000858306885
573,2703.000068664551
574,2758.000373840332
575,2613.999843597412
576,2622.999906539917
577,4683.000087738037
578,2730.9999465942383
579,3322.9997158050537
580,2740.000009536743
581,2736.999988555908
582,3424.999952316284
583,2661.9999408721924
584,3927.999973297119
585,4607.999801635742
586,2786.9999408721924
587,3412.9998683929443
588,2740.999937057495
589,3309.999942779541
590,2711.9998931884766
591,4066.999673843384
592,3421.999931335449
593,2702.9998302459717
594,2680.999994277954
595,3082.000255584717
596,4966.000080108643
597,3401.0000228881836
598,3071.000099182129
599,3320.99986076355
600,2956.0000896453857
601,4249.000072479248
602,3934.999942779541
603,3301.0001182556152
604,4925.000190734863
605,3658.9999198913574
606,2894.0000534057617
607,3921.0002422332764
608,3342.0002460479736
609,4542.00005531311
610,3239.000082015991
611,3393.0001258850098
612,3360.0001335144043
613,3309.999942779541
614,2750.999927520752
615,2725.0001430511475
616,2870.000123977661
617,3077.000141143799
618,2710.9999656677246
619,3904.0000438690186
620,3468.9998626708984
621,2687.000036239624
622,3417.0000553131104
623,5202.000141143799
624,3389.000177383423
625,2717.0002460479736
626,2667.0000553131104
627,2668.0002212524414
628,3686.000108718872
629,3422.0001697540283
630,4022.0000743865967
631,4309.999942779541
632,3296.999931335449
633,2946.000099182129
634,2617.000102996826
635,3851.9997596740723
636,3382.000207901001
637,3377.999782562256
638,2760.999917984009
639,3683.000326156616
640,2631.00004196167
641,3048.999786376953
642,3370.999813079834
643,2718.9998626708984
644,3321.9997882843018
645,3380.000114440918
646,3414.9999618530273
647,2819.000005722046
648,3956.9997787475586
649,2694.000005722046
650,2669.0001487731934
651,2718.0001735687256
652,3445.99986076355
653,3385.9996795654297
654,3612.99991607666
655,4065.000057220459
656,2684.999942779541
657,2867.999792098999
658,2729.0000915527344
659,3259.000062942505
780,3205.9996128082275
781,2605.0000190734863
782,3800.0001907348633
783,3484.999895095825
784,2580.9998512268066
785,4207.99994468689
786,3188.999891281128
787,3180.000066757202
788,2590.0001525878906
789,2780.9996604919434
790,2612.99991607666
791,3147.0000743865967
792,2596.9996452331543
793,2576.9999027252197
